Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnSinGetWorkspaceSize,1409,1,1409,1409,1409,0
host,acl,aclnnSoftmax,2297.48,200,11.487,5.88,810.07,3207.266
host,acl,aclnnSoftmaxGetWorkspaceSize,4786.35,1,4786.35,4786.35,4786.35,0
host,acl,aclnnSort,2552.4,100,25.524,17.89,498.02,2258.365
host,acl,aclnnSortGetWorkspaceSize,4332.26,1,4332.26,4332.26,4332.26,0
host,acl,aclnnSwiGlu,47694.67,3492,13.658,8.28,138.4,33.983
host,acl,aclnnSwiGluGetWorkspaceSize,23409.41,3492,6.704,4.14,743.2,232.587
host,acl,aclnnSwiGluTiling,1837.22,49,37.494,32,72.94,30.948
host,acl,aclopCompileAndExecute,9405044.08,144,65312.806,15.3,9402282.61,609643392518.799
host,acl,aclrtCreateContext,16610.42,1,16610.42,16610.42,16610.42,0
host,acl,aclrtCreateEventExWithFlag,4.67,1,4.67,4.67,4.67,0
host,acl,aclrtCreateStream,622.25,1,622.25,622.25,622.25,0
host,acl,aclrtCreateStreamWithConfig,23111.97,34,679.764,384.89,2120.54,250272.403
host,acl,aclrtCtxGetSysParamOpt,1267.79,1116,1.136,0.82,9.43,0.509
host,acl,aclrtCtxSetSysParamOpt,63.53,1,63.53,63.53,63.53,0
host,acl,aclrtDestroyEvent,2.79,1,2.79,2.79,2.79,0
host,acl,aclrtFree,22635.8,182,124.373,3.15,6595.14,380066.746
host,acl,aclrtGetCurrentContext,27.91,2,13.955,12.65,15.26,1.703
host,acl,aclrtGetDeviceCount,11.51,3,3.837,1.31,7.62,7.426
host,acl,aclrtGetMemInfo,3281.84,7,468.834,389.77,523.3,2421.522
host,acl,aclrtMalloc,217.36,2,108.68,33.93,183.43,5587.563
host,acl,aclrtMallocHost,9665.39,19,508.705,3.95,9373.21,4365830.977
host,acl,aclrtMemcpy,623346.05,757,823.443,23.15,42748.18,4044596.707
host,acl,aclrtMemcpyAsync,9735.26,1338,7.276,3.11,253.21,95.47
host,acl,aclrtRecordEvent,33.66,1,33.66,33.66,33.66,0
host,acl,aclrtSetCurrentContext,10.6,2,5.3,3.37,7.23,3.725
host,acl,aclrtSetDevice,439.73,2,219.865,147.69,292.04,5209.231
host,acl,aclrtSetOpExecuteTimeOut,1395.11,1,1395.11,1395.11,1395.11,0
host,acl,aclrtSetOpWaitTimeout,1338.55,8,167.319,117.64,267.23,1985.222
host,acl,aclrtSetStreamFailureMode,92.3,34,2.715,2.24,5.74,0.583
host,acl,aclrtStreamWaitEvent,12.37,1,12.37,12.37,12.37,0
host,acl,aclrtSynchronizeDevice,252.74,1,252.74,252.74,252.74,0
host,acl,aclrtSynchronizeDeviceWithTimeout,2941241.01,1879,1565.323,3.77,70768.31,87976246.299
host,acl,aclrtSynchronizeStream,9060432.3,757,11968.867,1.97,1782843.61,4764901483.61
host,acl,aclrtSynchronizeStreamWithTimeout,49149.14,201,244.523,21.18,824.7,34930.869
host,node,launch,753278.46,57628,13.071,2.92,1332.32,551.84
host,acl,opCompile,9376060.89,144,65111.534,3.5,9375499.42,606177081040.693
