Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,rope_custom_true_half,AI_CORE,23,2132,4.460,1764309594505121.070	,1764309594505125.530	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2133,2.320,1764309594505125.570	,1764309594505127.890	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2134,18.060,1764309594505127.910	,1764309594505145.970	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2134,16.220,1764309594505129.030	,1764309594505145.250	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2135,564.560,1764309594505145.990	,1764309594505710.550	
4,AddRmsNorm,AI_VECTOR_CORE,23,2136,2.100,1764309594505710.570	,1764309594505712.670	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2137,26.880,1764309594505712.690	,1764309594505739.570	
4,SwiGlu,AI_VECTOR_CORE,23,2138,4.500,1764309594505739.590	,1764309594505744.090	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2139,569.700,1764309594505744.130	,1764309594506313.830	
4,AddRmsNorm,AI_VECTOR_CORE,23,2140,1.960,1764309594506313.850	,1764309594506315.810	
4,trans_TransData_1,AI_VECTOR_CORE,23,2141,13.560,1764309594506315.830	,1764309594506329.390	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2142,552.060,1764309594506329.430	,1764309594506881.490	
4,rope_custom_true_half,AI_CORE,23,2143,4.360,1764309594506881.510	,1764309594506885.870	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2144,2.940,1764309594506885.890	,1764309594506888.830	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2145,16.520,1764309594506888.850	,1764309594506905.370	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2145,13.940,1764309594506890.250	,1764309594506904.190	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2146,565.620,1764309594506905.410	,1764309594507471.030	
4,AddRmsNorm,AI_VECTOR_CORE,23,2147,2.020,1764309594507471.050	,1764309594507473.070	
